Symbol,Name,Sector,Industry,Full_Time_Employees,Total_ESG_Risk_score,Environment_Risk_Score,Governance_Risk_Score,Social_Risk_Score,Controversy_Level,Controversy_Score,ESG_Risk_Percentile,ESG_Risk_Level,Controversy_Level_Score,ESG_Cluster,PCA1,PCA2
CPRT,Copart Inc,Industrials,Specialty Business Services,12000.0,16.0,1.5,5.6,9.0,Low Controversy Level,1.0,14.0,Low,1.0,0,-1.005179045383172,-0.8590737281895373
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,10600.0,24.7,9.4,5.2,10.0,Moderate Controversy Level,2.0,48.0,Medium,2.0,2,-0.2721031722836399,0.9162787085425829
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,14592.0,23.8,6.9,6.1,10.9,Significant Controversy Level,3.0,44.0,Medium,3.0,1,0.8183109264865702,0.8180295069546332
COP,Conocophillips,Energy,Oil & Gas E&P,10000.0,33.9,17.6,8.3,8.1,Moderate Controversy Level,2.0,81.0,High,2.0,2,0.03307350068716499,1.4513911701502946
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,18600.0,30.8,10.7,4.7,15.4,Moderate Controversy Level,2.0,72.0,High,2.0,2,0.5792526376850683,1.398343148737606
CMA,Comerica Incorporated,Financial Services,Banks - Regional,7619.0,25.2,2.5,11.7,11.0,Moderate Controversy Level,2.0,50.0,Medium,2.0,3,1.4483253304345969,-1.4911557897075192
CMCSA,Comcast Corp,Communication Services,Telecom Services,186000.0,23.1,4.0,8.2,10.9,Moderate Controversy Level,2.0,41.0,Medium,2.0,3,0.6177184556761421,-0.5200219641548854
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,34000.0,26.2,8.3,6.5,11.3,Moderate Controversy Level,2.0,54.0,Medium,2.0,2,0.2686122715195611,0.513651091750017
CTSH,Cognizant Technology Solutions,Technology,Information Technology Services,344400.0,14.7,1.1,5.9,7.6,Moderate Controversy Level,2.0,10.0,Low,2.0,0,-0.4833510790815032,-0.5830326717784924
KO,Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,79100.0,21.6,7.2,4.9,9.5,Significant Controversy Level,3.0,35.0,Medium,3.0,2,0.28840693806567075,1.0735171856480796
CMS,Cms Energy Corporation,Utilities,Utilities - Regulated Electric,8356.0,21.7,9.6,5.2,6.8,Moderate Controversy Level,2.0,35.0,Medium,2.0,2,-0.8517035496043446,0.8423484535097274
CME,Cme Group Inc.,Financial Services,Financial Data & Stock Exchanges,3565.0,17.8,2.1,9.2,6.5,Low Controversy Level,1.0,20.0,Low,1.0,3,-0.6370907528397827,-1.6146272307206442
CLX,Clorox Company,Consumer Defensive,Household & Personal Products,8100.0,21.6,7.7,5.3,8.6,Moderate Controversy Level,2.0,35.0,Medium,2.0,2,-0.4894167685431281,0.5887285477536437
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,17354.0,23.5,2.0,11.4,10.1,Moderate Controversy Level,2.0,42.0,Medium,2.0,3,1.2207873093077124,-1.533377037183633
C,Citigroup Inc.,Financial Services,Banks - Diversified,237000.0,29.2,1.8,13.7,13.8,High Controversy Level,4.0,66.0,Medium,4.0,1,3.8234466619394825,-1.038544554061646
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,84900.0,13.9,0.4,6.5,6.9,Moderate Controversy Level,2.0,8.0,Low,2.0,0,-0.4672071456955865,-0.8408175440169794
CTAS,Cintas Corp,Industrials,Specialty Business Services,44500.0,18.1,3.0,5.9,9.2,Moderate Controversy Level,2.0,21.0,Low,2.0,0,-0.20850651160789624,-0.23956857543103835
CINF,Cincinnati Financial Corp,Financial Services,Insurance - Property & Casualty,5426.0,25.6,1.8,12.9,11.0,Low Controversy Level,1.0,52.0,Medium,1.0,3,1.0252268348747497,-2.300608407728891
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,5550.0,19.9,6.9,6.7,6.3,Low Controversy Level,1.0,27.0,Low,1.0,0,-1.2814903542047642,-0.35376044453754485
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,40000.0,23.6,1.5,10.6,11.5,Moderate Controversy Level,2.0,43.0,Medium,2.0,3,1.2942872121939537,-1.394070196373475
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,120000.0,20.7,6.8,4.3,9.6,Moderate Controversy Level,2.0,30.0,Medium,2.0,2,-0.5309788080851248,0.6962075174467722
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,45600.0,36.6,17.0,10.4,9.2,Significant Controversy Level,3.0,87.0,High,3.0,2,1.4201510988720936,1.395585598614543
CHTR,Charter Comm Inc Del Cl a,Communication Services,Telecom Services,101100.0,24.7,6.1,7.9,10.7,Moderate Controversy Level,2.0,48.0,Medium,2.0,3,0.49719855533193297,-0.14091764391904948
CF,"Cf Industries Holding, Inc.",Basic Materials,Agricultural Inputs,2700.0,29.3,16.2,5.4,7.7,Low Controversy Level,1.0,66.0,Medium,1.0,2,-1.3957479070469074,1.3937524476413188
CNP,"Centerpoint Energy, Inc.",Utilities,Utilities - Regulated Electric,8827.0,28.7,12.9,5.1,10.7,Moderate Controversy Level,2.0,64.0,Medium,2.0,2,-0.19471006341766697,1.4968010330478305
CNC,Centene Corporation,Healthcare,Healthcare Plans,59900.0,19.9,0.1,6.5,13.3,Moderate Controversy Level,2.0,28.0,Low,2.0,1,0.6912458278864854,-0.6776320855097174
COR,"Cencora, Inc.",Healthcare,Medical Distribution,46000.0,12.8,1.6,5.7,5.5,Significant Controversy Level,3.0,6.0,Low,3.0,0,-0.20918848255264708,-0.08558288352842437
CE,Celanese Corporation,Basic Materials,Chemicals,12400.0,26.1,14.7,5.6,5.9,Moderate Controversy Level,2.0,54.0,Medium,2.0,2,-0.9608524333754493,1.5094187730251398
CBRE,"Cbre Group, Inc.",Real Estate,Real Estate Services,130000.0,8.0,1.5,4.6,1.9,Low Controversy Level,1.0,2.0,Negligible,1.0,0,-2.516798927939343,-0.8783887320597157
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,1647.0,21.0,2.7,10.6,7.6,Low Controversy Level,1.0,32.0,Medium,1.0,3,-0.12232415561277561,-1.784539204320921
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,113200.0,36.2,10.4,8.1,17.7,High Controversy Level,4.0,86.0,High,4.0,1,3.1815837209346203,1.5981024379421211
CCL,Carnival Corporation,Consumer Cyclical,Travel Services,106000.0,24.5,9.4,5.0,10.1,Significant Controversy Level,3.0,47.0,Medium,3.0,2,0.40324538999329806,1.4090026090271155
KMX,Carmax Inc.,Consumer Cyclical,Auto & Truck Dealerships,29836.0,12.1,0.1,4.0,8.0,Moderate Controversy Level,2.0,5.0,Low,2.0,0,-0.838614831858543,-0.319037441637139
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,47040.0,14.9,1.2,6.4,7.3,Significant Controversy Level,3.0,11.0,Low,3.0,0,0.27925147691451035,-0.23696188757725078
COF,Capital One Financial,Financial Services,Credit Services,51300.0,22.5,0.1,10.1,12.3,Significant Controversy Level,3.0,38.0,Medium,3.0,1,2.0378801904790578,-1.029202003381039
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,14500.0,23.5,10.9,4.5,8.1,Moderate Controversy Level,2.0,42.0,Medium,2.0,2,-0.7868344988785709,1.2329640157011001
CPT,Camden Property Trust,Real Estate,REIT - Residential,1640.0,16.1,4.0,8.2,3.9,Low Controversy Level,1.0,14.0,Low,1.0,0,-1.3499585791455067,-1.1957023755695317
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,14990.0,19.3,4.7,5.3,9.3,Low Controversy Level,1.0,26.0,Low,1.0,0,-1.0435956600047738,-0.2950543263597679
BG,Bunge Global Sa,Consumer Defensive,Farm Products,23000.0,32.9,14.4,5.3,13.3,Significant Controversy Level,3.0,78.0,High,3.0,2,1.0126460993764652,2.2160135205626332
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,16152.0,20.5,0.1,10.6,9.8,Low Controversy Level,1.0,30.0,Medium,1.0,3,0.29456521238138916,-2.111089009359034
BR,Broadridge Financial Solutions Inc,Technology,Information Technology Services,14000.0,16.6,4.2,4.9,7.5,Moderate Controversy Level,2.0,16.0,Low,2.0,0,-0.7535478912226882,0.10149480835557839
AVGO,Broadcom Inc.,Technology,Semiconductors,20000.0,20.0,7.3,6.6,6.0,Significant Controversy Level,3.0,28.0,Low,3.0,2,0.044571715884445674,0.6128298390028508
BMY,Bristol-Myers Squibb Co.,Healthcare,Drug Manufacturers - General,34100.0,22.7,1.3,7.1,14.4,Moderate Controversy Level,2.0,39.0,Medium,2.0,1,1.0183658796961357,-0.5854166019060031
BSX,Boston Scientific Corp.,Healthcare,Medical Devices,48000.0,23.1,2.4,8.9,11.9,Moderate Controversy Level,2.0,41.0,Medium,2.0,3,0.9706055840548394,-0.8814453874813174
BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,836.0,12.5,2.5,5.4,4.5,Low Controversy Level,1.0,6.0,Low,1.0,0,-1.8714067171197326,-0.8103456407671698
BWA,Borgwarner Inc.,Consumer Cyclical,Auto Parts,39900.0,12.6,2.7,5.7,4.2,Moderate Controversy Level,2.0,6.0,Low,2.0,0,-1.1553419069483897,-0.4064054664857059
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,24000.0,19.2,1.0,8.1,10.1,Significant Controversy Level,3.0,25.0,Low,3.0,1,1.1758034528402939,-0.5377319054625912
BA,Boeing Company,Industrials,Aerospace & Defense,171000.0,39.6,8.8,8.3,22.5,High Controversy Level,4.0,91.0,High,4.0,1,4.106495405452395,1.4672290491125664
BX,Blackstone Inc.,Financial Services,Asset Management,4735.0,23.4,2.5,11.3,9.6,Moderate Controversy Level,2.0,42.0,Medium,2.0,3,1.1038245442530423,-1.4518207228934097
BLK,"Blackrock, Inc.",Financial Services,Asset Management,19300.0,18.3,0.9,10.0,7.4,Moderate Controversy Level,2.0,21.0,Low,2.0,3,0.42070720977637666,-1.492379881749092
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,7570.0,22.2,0.4,7.4,14.5,Significant Controversy Level,3.0,37.0,Medium,3.0,1,1.8149193834204425,-0.33697834149210915
BIO,"Bio-Rad Laboratories, Inc.Class A",Healthcare,Medical Devices,8000.0,17.4,1.2,7.0,9.2,Low Controversy Level,1.0,18.0,Low,1.0,0,-0.6462743978977005,-1.1963234054901388
BBY,"Best Buy Company, Inc.",Consumer Cyclical,Specialty Retail,85000.0,15.9,2.4,4.4,9.1,Moderate Controversy Level,2.0,14.0,Low,2.0,0,-0.5655103364669357,-0.015703083537689507
BRK-B,Berkshire Hathaway Class B,Financial Services,Insurance - Diversified,396500.0,20.7,1.0,14.8,4.9,Low Controversy Level,1.0,30.0,Medium,1.0,3,0.3642014446412443,-3.0267361054184683
BDX,"Becton, Dickinson and Co.",Healthcare,Medical Instruments & Supplies,70000.0,23.8,3.0,7.1,13.6,Significant Controversy Level,3.0,44.0,Medium,3.0,1,1.5642001494541027,0.09587381271986788
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,60000.0,23.6,2.8,7.1,13.6,Significant Controversy Level,3.0,43.0,Medium,3.0,1,1.5656957115727772,0.06522391583676522
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,8981.0,28.3,12.2,5.9,10.3,Moderate Controversy Level,2.0,62.0,Medium,2.0,2,-0.07857883884122634,1.2062761084127933
BK,Bank of New York Mellon Corporation,Financial Services,Asset Management,52100.0,20.9,1.1,9.9,9.9,Moderate Controversy Level,2.0,31.0,Medium,2.0,3,0.8479610521516215,-1.358754520362312
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,212000.0,28.3,1.7,11.5,15.1,Significant Controversy Level,3.0,62.0,Medium,3.0,1,2.8522871601887707,-0.9903062868604497
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,16000.0,12.1,7.6,3.7,0.8,Moderate Controversy Level,2.0,5.0,Low,2.0,0,-2.2641191926614055,0.6588450121263101
AVY,Avery Dennison Corp.,Consumer Cyclical,Packaging & Containers,35000.0,16.1,11.4,3.7,0.9,Low Controversy Level,1.0,14.0,Low,1.0,0,-2.977541849008366,0.7975498535541459
AVB,"Avalonbay Communities, Inc.",Real Estate,REIT - Residential,2978.0,9.8,3.0,4.8,2.0,Low Controversy Level,1.0,3.0,Negligible,1.0,0,-2.464159903589005,-0.687790817327743
AZO,"Autozone, Inc.",Consumer Cyclical,Specialty Retail,71400.0,11.0,0.1,3.8,7.1,Moderate Controversy Level,2.0,4.0,Low,2.0,0,-1.0469967758994474,-0.3059061677248314
ADP,Automatic Data Processing,Industrials,Staffing & Employment Services,63000.0,13.8,2.8,5.5,5.5,Low Controversy Level,1.0,8.0,Low,1.0,0,-1.6700973231644434,-0.7529617187881141
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,5019.0,34.6,14.8,6.4,13.4,Moderate Controversy Level,2.0,83.0,High,2.0,2,0.5764928052563045,1.5996756859650354
T,At&t Inc.,Communication Services,Telecom Services,148290.0,23.9,3.3,6.7,13.9,Significant Controversy Level,3.0,44.0,Medium,3.0,1,1.5245742031706149,0.23674193056398427
AIZ,"Assurant, Inc.",Financial Services,Insurance - Specialty,13600.0,24.1,1.6,11.7,10.8,Moderate Controversy Level,2.0,45.0,Medium,2.0,3,1.4189238090185055,-1.6356165851762283
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,49821.0,21.2,0.1,10.1,10.9,Moderate Controversy Level,2.0,33.0,Medium,2.0,3,1.0818865822609616,-1.5218671489427589
ANET,Arista Networks,Technology,Computer Hardware,4023.0,16.7,0.4,7.4,8.9,Low Controversy Level,1.0,16.0,Low,1.0,0,-0.6029095463175259,-1.4138162655420117
ADM,Archer Daniels Midland Company,Consumer Defensive,Farm Products,40213.0,31.8,16.6,5.0,10.1,Significant Controversy Level,3.0,75.0,High,3.0,2,0.3494051537210151,2.512398896818811
ACGL,Arch Capital Group Ltd,Financial Services,Insurance - Diversified,6400.0,22.5,1.5,10.9,10.1,Moderate Controversy Level,2.0,38.0,Medium,2.0,3,1.1100513026910654,-1.503640675294713
APTV,Aptiv Plc,Consumer Cyclical,Auto Parts,154000.0,10.7,1.5,5.3,3.9,Low Controversy Level,1.0,3.0,Low,1.0,0,-1.9952185417594073,-0.9619316828475895
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,34800.0,12.7,4.5,5.3,3.0,Low Controversy Level,1.0,6.0,Low,1.0,0,-2.1802439528150965,-0.5315963973274132
AAPL,Apple Inc.,Technology,Consumer Electronics,150000.0,17.2,0.5,9.4,7.4,Significant Controversy Level,3.0,18.0,Low,3.0,3,0.9894011912849339,-0.9791350215007972
APA,Apa Corporation,Energy,Oil & Gas E&P,2271.0,38.8,22.0,8.0,8.9,Moderate Controversy Level,2.0,83.0,High,2.0,2,0.07601239072883297,2.215650602015548
ADI,"Analog Devices, Inc.",Technology,Semiconductors,26000.0,22.9,9.3,7.0,6.7,Low Controversy Level,1.0,40.0,Medium,1.0,0,-1.1584890505806047,-0.03670582540882458
APH,Amphenol Corporation,Technology,Electronic Components,95000.0,19.6,7.3,7.6,4.6,Moderate Controversy Level,2.0,26.0,Low,2.0,0,-0.682472068506984,-0.09255751475222247
AMGN,Amgen Inc,Healthcare,Drug Manufacturers - General,26700.0,22.0,0.7,7.8,13.5,Significant Controversy Level,3.0,36.0,Medium,3.0,1,1.7235982150224627,-0.4087736769185336
AME,"Ametek, Inc.",Industrials,Specialty Industrial Machinery,21500.0,23.9,8.6,6.7,8.5,Low Controversy Level,1.0,44.0,Medium,1.0,0,-0.8967555717621017,-0.021337466588951446
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,13800.0,20.3,2.1,10.3,7.8,Moderate Controversy Level,2.0,29.0,Medium,2.0,3,0.5526818861125832,-1.3592246439189877
AWK,"American Water Works Company, Inc",Utilities,Utilities - Regulated Water,6500.0,21.6,9.0,5.0,7.6,Low Controversy Level,1.0,34.0,Medium,1.0,0,-1.4515533757803547,0.3721769133795919
AMT,American Tower Corporation,Real Estate,REIT - Specialty,5643.0,10.9,2.9,5.2,2.8,Low Controversy Level,1.0,4.0,Low,1.0,0,-2.2273059891984937,-0.7620596110676464
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,25000.0,24.2,1.6,12.9,9.7,Moderate Controversy Level,2.0,46.0,Medium,2.0,3,1.4949400673848072,-1.9268326622293634
AXP,American Express Company,Financial Services,Credit Services,74600.0,18.6,0.1,9.7,8.9,Moderate Controversy Level,2.0,23.0,Low,2.0,3,0.6289911432290262,-1.502140860612891
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,16800.0,26.1,12.7,5.4,8.1,Moderate Controversy Level,2.0,54.0,Medium,2.0,2,-0.5942397165026417,1.3173631002750055
AAL,American Airlines Group Inc.,Industrials,Airlines,132800.0,26.4,9.9,4.8,11.6,Moderate Controversy Level,2.0,54.0,Medium,2.0,2,-0.0783695995099779,1.13028240998566
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,9372.0,27.2,12.9,5.3,9.1,Moderate Controversy Level,2.0,58.0,Medium,2.0,2,-0.4379725062533486,1.4019665154511805
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,1525000.0,30.6,6.0,9.2,15.4,Significant Controversy Level,3.0,71.0,High,3.0,1,2.347745306261126,0.16773196421309133
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,6400.0,31.3,6.1,7.6,17.6,Significant Controversy Level,3.0,74.0,High,3.0,1,2.378124867530518,0.5953113002062295
GOOGL,Alphabet Inc. Class A,Communication Services,Internet Content & Information,180895.0,24.2,1.6,11.5,11.2,High Controversy Level,4.0,46.0,Medium,4.0,1,2.851542449287842,-0.6861769663510869
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,9000.0,26.6,15.4,6.3,4.8,Moderate Controversy Level,2.0,55.0,Medium,2.0,2,-1.0045455543378417,1.431838439159541
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,10250.0,17.0,3.0,6.9,7.1,Low Controversy Level,1.0,17.0,Low,1.0,0,-1.0620107243247698,-0.9678328374177276
APD,"Air Products & Chemicals, Inc.",Basic Materials,Specialty Chemicals,23000.0,12.3,7.4,3.3,1.5,Low Controversy Level,1.0,5.0,Low,1.0,0,-2.9308158833151614,0.28924957765367687
A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,18000.0,13.6,1.1,6.1,6.4,Moderate Controversy Level,2.0,8.0,Low,2.0,0,-0.6543504200169313,-0.6647946703856472
AFL,Aflac Inc.,Financial Services,Insurance - Life,12785.0,18.3,0.3,8.9,9.1,Low Controversy Level,1.0,22.0,Low,1.0,3,-0.22260547856806234,-1.7416882667788463
AES,Aes Corporation,Utilities,Utilities - Diversified,9600.0,26.7,13.3,5.3,8.2,Moderate Controversy Level,2.0,56.0,Medium,2.0,2,-0.6035556097662688,1.4338531414910225
ADBE,Adobe Inc.,Technology,Software - Infrastructure,29945.0,13.1,1.9,5.2,6.0,Moderate Controversy Level,2.0,7.0,Low,2.0,0,-0.9386506118358829,-0.36381761446871325
ACN,Accenture Plc,Technology,Information Technology Services,742000.0,9.8,0.8,4.4,4.6,Moderate Controversy Level,2.0,3.0,Negligible,2.0,0,-1.3665057358953943,-0.4079680972343266
ABBV,Abbvie Inc.,Healthcare,Drug Manufacturers - General,50000.0,29.9,2.4,10.4,17.2,Significant Controversy Level,3.0,69.0,Medium,3.0,1,2.9745891715404094,-0.5804064940620541
ABT,Abbott Laboratories,Healthcare,Medical Devices,114000.0,24.8,2.3,8.3,14.2,Significant Controversy Level,3.0,48.0,Medium,3.0,1,1.9525690583118438,-0.24705869771877376
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,12000.0,25.4,7.2,6.4,11.9,Low Controversy Level,1.0,51.0,Medium,1.0,0,-0.34073521792722294,-0.06095367090195822
MMM,3m Company,Industrials,Conglomerates,85000.0,37.3,17.2,6.5,13.6,Severe Controversy Level,5.0,89.0,High,5.0,1,2.7267908478666274,3.2934724745331434
